"CODE","INTITULE","Nom","TELEPHONE1","EMAIL","ADLIVR_LIGNE1","ADLIVR_LIGNE2","ADLIVR_VILLE","ADLIVR_CODE_POSTAL","CONTRAT_DU","CONTRAT_AU","CODE_VENDEUR"
"301335","","","","","","","","","","",""
"300522","","","06 64 83 55 58","","PLACE ANDRE MEUNIER","","BORDEAUX","33000","","","5"
"100088","ANCIEN CLIENT","""CHEZ GREG - LE GRAND THEATRE""","05 56 31 30 30","chezgregrestaurants@free.fr","","","","","","","1"
"200077","","---","","jjpedurant@hotmail.fr","","","","","","","7"
"100234","","64 EXPRESS","06.73.30.22.46","petercuvilliez@gmail.com","1 rue hugues","","BAYONNE","64100","","","2"
"300525","NON CLIENT","A Cantina "" Brasserie Corse""","","didier.acantina@gmail.com","19 rue Malby","","BORDEAUX","33000","","","7"
"300906","","A DEUX PAS CHAUSSURES","05 56 68 63 41","","63 AVENUE DE LA REPUBLIQUE","","SAINT LOUBES","33450","","","6"
"300086","","AFRICA KAFU 05.56.17.06.38MAWU","05.56.17.06.38","tekplonini@gmail.com","rue de l'horloge","","PESSAC","33600","","","2"
"301063","CLIENT","AGENCE COTE OUEST","","f.simondet@coteouestfrance.com","110 QUAI DES CHARTRONS","","BORDEAUX","33300","","","1"
"300184","","AGJL REBECCA","06.99.44.03.51","","255 rue sainte catherine","","BORDEAUX","33000","","","2"
"300629","","AINTZIRA ""Restaurant du lac""","","restaurantaintzira@gmail.com","Rue Charles Cami","","SAINT PEE SUR NIVELLE","64310","","","7"
"AISANCE","","AISANCE SYSTEME","","mtrieu@aisancetouch.fr","14 Square JF Laperouse","","BRUGES","33520","","",""
"300330","CLIENT","ALAIA","05 47 02 25 71","alaia.vintage@hotmail.com","11 Rue Loquin","","SAINT JEAN DE LUZ","64500","15/11/2018","14/11/2022","7"
"300720","NON CLIENT","ALLEE DU BIO","","","20 avenue de Maicaillou","","SAINT SULPICE ET CAMEYRAC","33450","","","4"
"300238","","ALVAREZ Julie","","juliealvarez08@gmail.com","","","","","","","1"
"300679","","ANDRE L'ANNEXE","0624463308","","","53 quai de bacalan","BORDEAUX","33000","","","5"
"200282","","ANGUS BEEF","05 58 43 76 80","jeanluc.lafort@orange.fr","Terrasse de L'océan","Avenue Notre Dame","CAPBRETON","40130","","17/11/2017","4"
"200216","","ANNICK BUC ""L'ASSOSTA""","05 58 72 49 56","annick-buc@orange.fr","Résid. La Féria - Place Robert Lassalle","","SOUSTONS","40140","","","7"
"301047","","APC - LE COIN D'ANA","0640062581","lecoindanabordeaux@gmail.com","70 rue Judaique","","BORDEAUX","33000","","","4"
"300927","","APOTHEK","0762977000","","96 RUE NOTRE DAME","","BORDEAUX","33000","","","4"
"300114","","AROCENA","07.88.51.44.54","fagoago.j.e@sfr.fr","rue karrika","","SAINT PEE SUR NIVELLE","64310","","","2"
"300282","","ARONA","06.63.38.07.18","arona33@outlook.fr","2 rue jules ferry","","LACANAU OCEAN","33680","","","2"
"200127","","AROSTA","","","","","","","","","7"
"200041","","ARRIETA SERVICES","","","","","","","","","7"
"100138","NON CLIENT","ARROW BORDEAUX","+33 5 56 44 08 08","","","","","","","","1"
"301074","","ARTY CAFE","0557839784","","40 rue du Palais Gallien","","BORDEAUX","33000","","","4"
"300795","CLIENT","AS DIFFUSION - Papaye&Goy. - Fenouillet2","","papayetgoyave@orange.fr","PAPAYE ET GOYAVE","","","","","31/07/2018","1"
"300641","NON CLIENT","AS DIFFUSION - Papaye&Goyave Agen","","","","","AGEN","47000","","","1"
"300829","CLIENT","AS DIFFUSION - Papaye&goy. Mérignac","","","PAPAYE ET GOYAVE","11 Rue Euclide","MERIGNAC","33700","17/01/2018","","1"
"300640","CLIENT","AS DIFFUSION - Papaye&goyav e Fenouillet","05 62 22 45 69","papayetgoyave@orange.fr","CC GEANT CASINO","120 RUE DES USINES","FENOUILLET","31150","","31/01/2018","1"
"300702","CLIENT","AS DIFFUSION - Papaye&goyave Monthieu","","papayetgoyave@orange.fr","","","","","","31/07/2018","1"
"300544","CLIENT","AS DIFFUSION - Papaye&goyave Pessac","05 56 36 40 81","papayetgoyave@orange.fr","Centre Commercial Pessac Bersol","4 Avenue Gustave Eiffel","PESSAC","33600","24/04/2017","","1"
"300339","","ASSETLEASE","05 56 34 75 09","","2 Rue des Chauffours","Immeuble Ordinnal","CERGY","95000","","","1"
"300298","","ATELIER SUCRE","05.56.27.18.87","ateliersucre.33@gmail.com","2 rue d'angleterre","","PODENSAC","33720","","","1"
"200241","","AU BON COIN","05 59 32 25 99","darrib1@hotmail.fr","125 Avenue des Martyrs du Pont Long","Route de Bordeaux","LONS","64140","01/01/2019","31/12/2019","4"
