100001;CLIENT;SARL ANAIAK - Chez Munu;05 59 20 77 96;laurent.arseguel@gmail.com;;;;64700;26/04/2018;25/08/2021;7;-14,4
100002;ANCIEN CLIENT;SAS VOLCOM;+33559507602;fdelas@volcomeurope.com;;;;64600;;;7;0
100003;CLIENT;SARL ORJUCOPA - Campo Verdé;05 59 20 50 20;corinnemazounie@orange.fr;;;;64100;;15/11/2018;7;0
100004;ANCIEN CLIENT;LA BELLE EPOQUE;0556614402;;1 Place de la République;;BLASIMON;33540;;;7;0
100005;CLIENT;SARL PIZZERIA MASANIELLO;05 57 30 61 50;;10 Rue Maucoudinat;;BORDEAUX;33000;11/06/2019;10/06/2023;1;-3418,8
100006;CLIENT;NEELA VANEE TANDOURI;05 56 51 24 91;neelavanee@gmail.com;;;;33000;;06/01/2018;1;-35
100007;CLIENT;LE RAJWAL;05 56 44 25 97;rajwal@live.fr;;;;33000;12/02/2018;11/02/2022;1;-144
100008;CLIENT;SIVAKUMAR KANAPATHIPILLAI - Koh-I-Noor;05 56 51 17 55;restaurantkohinoor@hotmail.fr;;;;33000;;02/11/2018;;0
100009;NON CLIENT;LA CASE;06 68 41 15 03;contact@restaurantlacase.fr;;;;33000;;;1;0
100010;;FLAT LEASE GROUP;;;;;;33700;;;;0
100011;ANCIEN CLIENT;SARL LES JUMEAUX ''L'ALSACE GOURMANDE'';05 58 43 18 78;pizzburg1@wanadoo.fr;;;;40510;;;7;0
100012;;STAR LEASE;01 41 39 54 50;;;;;92853;;;;0
100013;;NATIXIS LEASE;0158328080;nathalie.lemarchand@lease.natixis.fr;;;;94676;;;;0
100014;ANCIEN CLIENT;EURL LE VINCENNES 33;0557430126;;46 Allee du Champ de Foire;;SAINT ANDRE DE CUBZAC;33240;;;1;0
100015;CLIENT;PIZZAS KIKI;05 56 88 18 95;www.pizzas-kiki.com;2 Avenue Charles de Gaulle;;MARTILLAC;33650;31/10/2016;30/10/2020;1;0
100016;ANCIEN CLIENT;LE COMPTUCH';05 56 52 43 56;;17 rue du Parlement Saint Pierre;;BORDEAUX;33000;;;1;0
100017;CLIENT;SARL AGALDEC - L'atelier de Candale;05 57 51 19 91(cpta);chateaudecandale@orange.fr;Lieu Dit Grandes Plantes;;SAINT LAURENT DE COMBES;33330;12/01/2017;11/01/2021;1;0
100018;NON CLIENT;BAMO'SO;0699783172;mohamedhabri@gmail.com;20 Rue Louis Gendreau;;BORDEAUX;33300;;;1;0
100019;ANCIEN CLIENT;SARL NOEMIE - LA GUINGUETTE;0557262600;sandrine@pacha33.com;1 rue de la poudrière;;PESSAC;33600;;;1;0
100020;ANCIEN CLIENT;SARL ANLANI - RESTAURANT ODelys;05 57 70 14 73;amorim.antonio@hotmail.fr;56 route du Cap Ferret;Grand Piquey;LEGE CAP FERRET;33950;;21/07/2017;1;0
100021;ANCIEN CLIENT;JASA - LA BODEGA;0557707223;jasa.carcans@orange.fr;1 Place de la liberté;MAUBUISSON;CARCANS;33121;;;1;0
100022;NON CLIENT;SARL ARCCA;0557520042;edwins50@hotmail.com;39, rue Maréchal de Lattre de Tassigny;;ARCACHON;33120;;;1;0
100023;NON CLIENT;LA CHINE - TANG Many;0556791324;;54 Rue Saint Remi;;BORDEAUX;33000;;;1;0
100024;ANCIEN CLIENT;LA CAGETTE;0980538435;tim@lacagette.com;8 Place du Palais;;BORDEAUX;33000;;;1;0
